user_id,favorite_user_id,created_at
1,2,2026-02-01 09:15:00
1,3,2026-02-01 09:16:30
1,5,2026-02-02 14:20:10
1,7,2026-02-03 11:05:45
1,9,2026-02-04 16:40:00
1,10,2026-02-05 08:30:20
2,1,2026-02-01 10:00:00
2,4,2026-02-02 12:11:05
2,6,2026-02-03 18:25:50
2,8,2026-02-06 13:47:30
2,10,2026-02-07 09:55:15
3,1,2026-02-08 10:12:00
3,2,2026-02-08 10:13:40
4,2,2026-02-09 15:30:00
5,1,2026-02-10 11:22:33
6,2,2026-02-11 17:05:00
6,7,2026-02-11 17:06:20
7,1,2026-02-12 08:44:10
8,2,2026-02-13 19:18:55
9,1,2026-02-14 12:00:00
10,1,2026-02-15 14:35:25
10,2,2026-02-15 14:36:50
